name,careers_url,ats_platform,category,notes
Dyson,https://careers.dyson.com/en-gb,workday,Beauty,Hair tech
Shark Beauty,https://www.sharkninja.com/careers/,workday,Beauty,
Kendo Brands,https://boards.greenhouse.io/kendobrands,greenhouse,Beauty,LVMH beauty incubator - owns Fenty Beauty/KVD/Ole Henriksen/Bite
Henkel,https://www.henkel.com/careers,workday,Beauty,Covers Schwarzkopf/Joico/DevaCurl
Clarins,https://www.clarins.com/en/careers.html,custom,Beauty,French luxury skincare
L'Occitane,https://careers.loccitane.com/,workday,Beauty,French beauty - owns Sol de Janeiro
Tarte Cosmetics,https://tartecosmetics.com/pages/careers,custom,Beauty,
Anastasia Beverly Hills,https://boards.greenhouse.io/anastasiabeverlyhills,greenhouse,Beauty,
Morphe,https://boards.greenhouse.io/morphe,greenhouse,Beauty,
ColourPop,https://colourpop.com/pages/careers,custom,Beauty,Huge social-first beauty brand
Benefit Cosmetics,https://boards.greenhouse.io/benefitcosmetics,greenhouse,Beauty,Under LVMH but own board
Puig,https://careers.puig.com/opportunities?contractType=284271&country=9900,custom,Beauty,Covers Charlotte Tilbury/Byredo/Carolina Herrera Beauty/Rabanne/JPG
Pinterest,https://boards.greenhouse.io/pinterest,greenhouse,Creative Tech,Dream company
Notion,https://boards.greenhouse.io/notion,greenhouse,Productivity,
Figma,https://boards.greenhouse.io/figma,greenhouse,Creative Tech,
Canva,https://boards.greenhouse.io/canva,greenhouse,Creative Tech,
Adobe,https://careers.adobe.com/,workday,Creative Tech,
Spotify,https://boards.greenhouse.io/spotify,greenhouse,Music / Creative Tech,
TikTok,https://careers.tiktok.com/,custom,Creative Tech,ByteDance parent
Discord,https://boards.greenhouse.io/discord,greenhouse,Creative Tech,
Etsy,https://boards.greenhouse.io/etsy,greenhouse,Creative Tech,
Miro,https://boards.greenhouse.io/miro,greenhouse,Productivity,
Webflow,https://boards.greenhouse.io/webflow,greenhouse,Creative Tech,
Squarespace,https://boards.greenhouse.io/squarespace,greenhouse,Creative Tech,
Framer,https://www.framer.com/careers/,custom,Creative Tech,
Airtable,https://boards.greenhouse.io/airtable,greenhouse,Productivity,
Coda,https://boards.greenhouse.io/coda,greenhouse,Productivity,
Linear,https://linear.app/careers,custom,Productivity,
Asana,https://boards.greenhouse.io/asana,greenhouse,Productivity,
Monday.com,https://boards.greenhouse.io/mondaydotcom,greenhouse,Productivity,
Atlassian,https://boards.greenhouse.io/atlassian,greenhouse,Productivity,Covers Trello/Bitbucket/Jira/Confluence
ClickUp,https://boards.greenhouse.io/clickup,greenhouse,Productivity,
Zapier,https://boards.greenhouse.io/zapier,greenhouse,Productivity,
Loom,https://boards.greenhouse.io/loomdotcom,greenhouse,Productivity,
Lucid Software,https://boards.greenhouse.io/lucidsoftware,greenhouse,Productivity,
MURAL,https://boards.greenhouse.io/mural,greenhouse,Productivity,
Slack,https://slack.com/intl/en-us/careers,workday,Productivity,Salesforce-owned
VSCO,https://boards.greenhouse.io/vsco,greenhouse,Creative Tech,
Picsart,https://boards.greenhouse.io/picsart,greenhouse,Creative Tech,
PhotoRoom,https://boards.greenhouse.io/photoroom,greenhouse,Creative Tech,
CapCut,https://jobs.bytedance.com/,custom,Creative Tech,ByteDance - separate from TikTok roles
Milanote,https://milanote.com/about/careers,custom,Productivity,
Grammarly,https://boards.greenhouse.io/grammarly,greenhouse,Productivity,
Dropbox,https://jobs.dropbox.com/,greenhouse,Productivity,
Raycast,https://www.raycast.com/jobs,custom,Productivity,
Craft Docs,https://www.craft.do/jobs,custom,Productivity,
Obsidian,https://obsidian.md/jobs,custom,Productivity,
Readwise,https://readwise.io/jobs,custom,Productivity,
Todoist,https://boards.greenhouse.io/doist,greenhouse,Productivity,
1Password,https://jobs.1password.com/,greenhouse,Productivity,
Proton,https://boards.greenhouse.io/proton,greenhouse,Productivity,
Box,https://boards.greenhouse.io/box,greenhouse,Productivity,
Goodnotes,https://boards.greenhouse.io/goodnotes,greenhouse,Productivity,
Disney,https://www.disneycareers.com/en/search-jobs/?orgIds=391&alcpm=6252001&ascf=%5b%7b%22Key%22%3a%22custom_fields.ProgramType%22%2c%22Value%22%3a%22Internship%22%7d%5d,custom,Entertainment,Covers Pixar/Marvel/Lucasfilm/ILM/Imagineering/Parks
Universal,https://jobs.universalparks.com/job-search-results/?keyword=intern&brand=Universal%20Orlando%20Resort,custom,Entertainment,Universal Orlando - Florida advantage
NBCUniversal,https://www.nbcunicareers.com/find-a-job?keyword=intern,custom,Entertainment,Covers Peacock/Bravo/NBC/Telemundo
Paramount,https://www.viacomcbs.com/careers,workday,Entertainment,
Netflix,https://boards.greenhouse.io/netflix,greenhouse,Entertainment,
Warner Bros Discovery,https://careers.warnerbros.com/,workday,Entertainment,Covers HBO/Warner Bros
Sony Pictures,https://www.sonypictures.com/careers,workday,Entertainment,
Riot Games,https://boards.greenhouse.io/riotgames,greenhouse,Gaming,
Epic Games,https://boards.greenhouse.io/epicgames,greenhouse,Gaming,
Roblox,https://boards.greenhouse.io/roblox,greenhouse,Gaming,
Electronic Arts,https://jobs.ea.com/,workday,Gaming,
Blizzard,https://careers.blizzard.com/,workday,Gaming,Part of Activision Blizzard
Unity,https://boards.greenhouse.io/unity,greenhouse,Gaming,
Crunchyroll,https://boards.greenhouse.io/crunchyroll,greenhouse,Entertainment,Anime + Product
A24,https://a24films.com/jobs,custom,Entertainment,Small but creative
LEGO,https://www.lego.com/en-us/careers,workday,Entertainment,
Mattel,https://careers.mattel.com/,workday,Entertainment,Covers Barbie
Hasbro,https://careers.hasbro.com/,workday,Entertainment,
Pokémon Company International,https://boards.greenhouse.io/pokemoncompanyinternational,greenhouse,Entertainment,
Niantic,https://boards.greenhouse.io/niantic,greenhouse,Gaming,
Twitch,https://boards.greenhouse.io/twitch,greenhouse,Entertainment,Amazon-owned but separate hiring
Letterboxd,https://letterboxd.com/about/jobs/,custom,Entertainment,Film community - small beloved product
Universal Music Group,https://www.universalmusic.com/careers/,workday,Music,
Sony Music,https://www.sonymusic.com/careers/,workday,Music,
Warner Music Group,https://boards.greenhouse.io/warnermusic,greenhouse,Music,
Live Nation,https://www.livenationentertainment.com/careers/,workday,Music,
SoundCloud,https://boards.greenhouse.io/soundcloud,greenhouse,Music,
Bandcamp,https://bandcamp.com/jobs,custom,Music,Music for artists - beloved product
Airbnb,https://boards.greenhouse.io/airbnb,greenhouse,Consumer Apps / Travel,
Duolingo,https://boards.greenhouse.io/duolingo,greenhouse,Consumer Apps,
Uber,https://boards.greenhouse.io/uber,greenhouse,Consumer Apps,
DoorDash,https://boards.greenhouse.io/doordash,greenhouse,Consumer Apps,
Stripe,https://boards.greenhouse.io/stripe,greenhouse,Consumer Apps,
Robinhood,https://boards.greenhouse.io/robinhood,greenhouse,Consumer Apps,
Calm,https://boards.greenhouse.io/calm,greenhouse,Consumer Apps,
Flo Health,https://boards.greenhouse.io/flo,greenhouse,Consumer Apps,
Headspace,https://boards.greenhouse.io/headspace,greenhouse,Consumer Apps,
Marriott,https://jobs.marriott.com/,workday,Travel,
Hilton,https://jobs.hilton.com/,workday,Travel,
Hyatt,https://careers.hyatt.com/,workday,Travel,
Delta,https://jobs.delta.com/,workday,Travel,
Expedia,https://lifeatexpedia.com/,workday,Travel,
Westgate Resorts,https://www.westgateresorts.com/careers/,custom,Travel,Orlando-based
Hopper,https://boards.greenhouse.io/hopper,greenhouse,Travel,
Booking.com,https://jobs.booking.com/,workday,Travel,Part of Booking Holdings
Virgin Voyages,https://www.virginvoyages.com/careers,workday,Travel,Florida advantage
Porsche,https://jobs.porsche.com/,custom,Automotive,
Rivian,https://boards.greenhouse.io/rivian,greenhouse,Automotive,
Lucid Motors,https://boards.greenhouse.io/lucidmotors,greenhouse,Automotive,
Polestar,https://boards.greenhouse.io/polestar,greenhouse,Automotive,
Apple,https://jobs.apple.com/en-us/search?team=Internships-STDNT-INTRN,custom,Consumer Tech,Pre-filtered for internships
Google Tech,https://www.google.com/about/careers/applications/jobs/results/?category=PRODUCT_MANAGEMENT&category=SOFTWARE_ENGINEERING&category=USER_EXPERIENCE&category=INFORMATION_TECHNOLOGY&category=PROGRAM_MANAGEMENT&jex=ENTRY_LEVEL&target_level=INTERN_AND_APPRENTICE,custom,Consumer Tech,Tech roles only
Google Business,https://www.google.com/about/careers/applications/jobs/results/?category=MARKETING&category=BUSINESS_STRATEGY&category=PARTNERSHIPS&category=PROGRAM_MANAGEMENT&jex=ENTRY_LEVEL&target_level=INTERN_AND_APPRENTICE,custom,Consumer Tech,Business roles only
Microsoft,https://careers.microsoft.com/,custom,Consumer Tech,
Meta,https://www.metacareers.com/jobsearch/?teams[0]=University%20Grad%20-%20Business&teams[1]=University%20Grad%20-%20Engineering%2C%20Tech%20%26%20Design,custom,Consumer Tech,Pre-filtered for students
OpenAI,https://boards.greenhouse.io/openai,greenhouse,Consumer Tech / AI,
Amazon,https://www.amazon.jobs/content/en/career-programs/university/internships-for-students,custom,Consumer Tech,Pre-filtered for students
Snap,https://boards.greenhouse.io/snap,greenhouse,Consumer Tech,
Anthropic,https://boards.greenhouse.io/anthropic,greenhouse,Cool Startups / AI,
Perplexity,https://boards.greenhouse.io/perplexityai,greenhouse,Cool Startups / AI,
Scale AI,https://boards.greenhouse.io/scaleai,greenhouse,Cool Startups / AI,
Runway,https://boards.greenhouse.io/runwayml,greenhouse,Cool Startups / AI,
ElevenLabs,https://boards.greenhouse.io/elevenlabs,greenhouse,Cool Startups / AI,
Replit,https://boards.greenhouse.io/replit,greenhouse,Cool Startups / AI,
Cursor,https://www.cursor.com/careers,custom,Cool Startups / AI,
Midjourney,https://www.midjourney.com/jobs,custom,Cool Startups / AI,
Hugging Face,https://apply.workable.com/huggingface/,custom,Cool Startups / AI,
Lovable,https://lovable.dev/jobs,custom,Cool Startups / AI,
Windsurf,https://windsurf.com/careers,custom,Cool Startups / AI,
Gamma,https://gamma.app/careers,custom,Cool Startups / AI,AI presentation tool
Vercel,https://boards.greenhouse.io/vercel,greenhouse,Cool Startups,
Retool,https://boards.greenhouse.io/retool,greenhouse,Cool Startups,
Mercury,https://boards.greenhouse.io/mercury,greenhouse,Cool Startups,
Plaid,https://boards.greenhouse.io/plaid,greenhouse,Cool Startups,
The Trade Desk,https://boards.greenhouse.io/thetradedesk,greenhouse,Ad Tech,Previously interviewed
LTK,https://boards.greenhouse.io/shopltk,greenhouse,Fashion Tech,
Depop,https://boards.greenhouse.io/depop,greenhouse,Fashion Tech,
GOAT,https://boards.greenhouse.io/goatapp,greenhouse,Fashion Tech,
StockX,https://boards.greenhouse.io/stockx,greenhouse,Fashion Tech,
The RealReal,https://boards.greenhouse.io/therealreal,greenhouse,Fashion Tech,
Farfetch,https://boards.greenhouse.io/farfetch,greenhouse,Fashion Tech,
Rent the Runway,https://boards.greenhouse.io/renttherunway,greenhouse,Fashion Tech,
Stitch Fix,https://boards.greenhouse.io/stitchfix,greenhouse,Fashion Tech,
Poshmark,https://boards.greenhouse.io/poshmark,greenhouse,Fashion Tech,
Shopify,https://boards.greenhouse.io/shopify,greenhouse,Fashion Tech / Ecomm,
Klaviyo,https://boards.greenhouse.io/klaviyo,greenhouse,Fashion Tech / Ecomm,
Faire,https://boards.greenhouse.io/faire,greenhouse,Fashion Tech,
Moda Operandi,https://boards.greenhouse.io/modaoperandi,greenhouse,Fashion Tech,
Vestiaire Collective,https://boards.greenhouse.io/vestiairecollective,greenhouse,Fashion Tech,
Whatnot,https://boards.greenhouse.io/whatnot,greenhouse,Fashion Tech,
Fashionphile,https://www.fashionphile.com/about/careers,custom,Fashion Tech,
CASETiFY,https://boards.greenhouse.io/casetify,greenhouse,Fashion Tech,Fashion x tech x Filipino culture
Linktree,https://linktr.ee/s/about/careers,custom,Creative Tech,You already use this at APAC
Later,https://boards.greenhouse.io/later,greenhouse,Creative Tech,Social media tool used heavily in fashion/beauty
Beacons,https://beacons.ai/careers,custom,Creative Tech,Creator economy focused Linktree competitor
Veed.io,https://www.veed.io/careers,custom,Creative Tech,Video editing for creators
Substack,https://jobs.ashbyhq.com/substack,custom,Creative Tech,Creator economy
Kajabi,https://boards.greenhouse.io/kajabi,greenhouse,Creative Tech,Creator economy platform
Fourthwall,https://fourthwall.com/jobs,custom,Creative Tech,Creator economy - merch + storefront platform
Gumroad,https://www.gumroad.com/jobs,custom,Creative Tech,Creator economy
Autodesk,https://www.autodesk.com/careers/overview,workday,Creative Tech,Design software
Starbucks,https://careers.starbucks.com/,custom,Consumer Apps,Digital experience + loyalty product teams
IKEA,https://www.ikea.com/us/en/this-is-ikea/work-with-us/,workday,Home & Lifestyle,
Sonos,https://boards.greenhouse.io/sonos,greenhouse,Home & Lifestyle,
Herman Miller,https://www.hermanmiller.com/careers/,workday,Home & Lifestyle,
Condé Nast,https://condenast.wd5.myworkdayjobs.com/CondeCareers,workday,Fashion Media,Covers Vogue/Allure/Glamour/GQ/Vanity Fair/WIRED
Highsnobiety,https://www.highsnobiety.com/jobs/,custom,Fashion Media,Fashion culture media
Glossy / BoF,https://www.businessoffashion.com/careers/,custom,Fashion Media,Fashion media with digital product roles
Tiffany & Co.,https://careers.tiffany.com/,workday,Luxury Fashion,Under LVMH but has own careers portal
Marc Jacobs,https://www.marcjacobs.com/careers,custom,Luxury Fashion,Under LVMH but own digital presence
